TRAVEL_ID,POI_ID,POI_NM
d_d007819,POI01000000ALBVGD,제주신화월드테마파크
d_d010436,POI01000000C2IBIL,부영사랑으로/107동
d_d010768,POI01000000ALAFGW,1965올레시장54번가
d_d006734,POI010000006W7BS8,ICC제주국제컨벤션센터
d_d002844,POI01000000B31UCH,채희웨스톤호텔
d_d002308,POI01000000E9LWII,서울역버스환승센터
d_d009301,POI01000000C0RPE2,수원한일타운아파트/128동
d_d000402,POI01000000E0272L,일품순두부신시가지점
d_d001579,POI0100000078KDV3,더블케이
d_d002214,POI01000000EHG9GW,성산일출봉
d_d001878,POI01000000C0KREX,공작부영2차아파트/308동
d_d001558,POI01000000C9I8W3,가현빌리지
d_d011356,POI01000000ALD37E,삼양동해녀탈의장
d_d011423,POI010000006VUHEM,화순항종합관리센터
d_d007425,POI01000000EG9AMV,서귀포치유의숲힐링센터
d_d000821,POI0100000078KIJW,성산스테이션게스트하우스
d_d002423,POI01000000BSCNEC,더스테이센추리호텔
d_d001998,POI0100000078SQ4X,캠퍼트리호텔&리조트
d_d004418,POI01000000AM2FKT,한경직목사우거처
b_b007899,POI01000000B22EYN,장자마을금호베스트빌I아파트/관리사무실
a_a004017,POI01000000C1CKUZ,마포래미안푸르지오2단지아파트/201동
d_d003477,POI01000000ALA6PW,호텔썬비치
d_d000856,POI01000000EG7YVQ,부띠끄스테이스놉
d_d000228,POI01000000C9IHWC,유림주택1동
d_d009480,POI01000000ALCPKC,여울목게스트하우스
b_b003295,POI01000000BSMFII,송화관석쇠불고기
d_d002791,POI01000000BZ80JX,부광아파트
a_a007125,POI01000000ALB406,호텔더본
d_d001143,POI01000000B31MEB,저지리약용작물유통센터
d_d000537,POI01000000EHG4LW,제주문예회관
d_d007088,POI01000000C29WQ5,"태홍누리안아파트,MG한마음새마을금고연동지점"
d_d001083,POI010000006VWI9K,제주항연안여객터미널
d_d009825,POI01000000C15BQF,한국아파트/102동
a_a002983,POI01000000B5IZG9,월미도테마파크
d_d001598,POI01000000B30G2S,제주나인부띠끄호텔
d_d008119,POI01000000EG4GIS,연리재
d_d001180,POI01000000BW25T3,원흥역4번출입구
d_d006312,POI0100000078LCNV,casa블루
a_a003485,POI01000000BXVNTF,인천선린동공화춘
a_a011254,POI01000000C1BWBR,DMC파크뷰자이2단지아파트/211동
d_d001875,POI010000006VWNAQ,동문시장고객지원센터
d_d000337,POI01000000B3576S,수목원테마파크
d_d001015,POI01000000C9GMN6,한림빌
a_a001803,POI010000006EHJYE,인천공항소방서119시민수상구조대
d_d010193,POI01000000E87D57,항몽유적지
d_d006130,POI010000006W0BLU,아라숙명음악학원
d_d007825,POI01000000BG9M6O,목포역
d_d002773,POI01000000EG7PBX,제주신라호텔
b_b000516,POI01000000BYMF28,갈매기스킨스쿠버다이빙리조트
d_d000628,POI01000000BZ26N1,일레인제주리조트
d_d003109,POI01000000BUTRRC,하나빌딩
d_d010178,POI01000000BZ1Z39,천지연폭포
d_d003040,POI010000006W0Z1Y,신의한모
c_c002263,POI01000000C1YZDJ,"갑오마을6단지부영아파트,605동"
d_d004601,POI01000000B31Y5E,오설록티뮤지엄
b_b015013,POI010000006VNST5,스팩트럼
d_d001470,POI01000000EG6STH,SK에너지천마주유소
d_d001784,POI010000006VVTYJ,호텔R&T
d_d000810,POI0100000000UQQ6,남송악
b_b001421,POI01000000B7HELU,문수데시앙3단지
d_d010661,POI01000000BSCGYP,서귀포시공영주차장
c_c005613,POI010000006VS3H9,제주평대림비자나무숲청소년수련원본관
c_c001068,POI01000000B280TA,죽향문화체험마을죽녹원
d_d003563,POI010000006W2CKW,베스트웨스턴가족제주호텔
d_d011394,POI01000000C9N35C,재원하우스
d_d008108,POI01000000EHGE8T,제주신화역사공원워터파크신축공사현장사무실
d_d000744,POI01000000EG7TC2,아르떼뮤지엄
d_d002917,POI0100000072CS9I,동학혁명기념관
d_d001448,POI01000000EG51RN,SK렌터카제주지점
d_d009706,POI010000006VRQWA,김녕휴게소
b_b005963,POI01000000AMOEMG,거제해상파크휴게소
d_d011470,POI010000006W4A9L,공감3081펜션
d_d001628,POI0100000078KDW4,백팩커스홈
d_d004993,POI010000006JJHUF,힐탑빌딩
d_d002112,POI010000006VRQWA,김녕휴게소
d_d009588,POI01000000C21TSW,우정LH1단지아파트/107동
d_d005357,POI01000000C0BL15,춘천e편한세상아파트/108동
a_a003214,POI01000000C54O27,그린빌II3동
d_d002413,POI0100000078KQQB,제주소년스테이
d_d003814,POI01000000BZ216F,정방폭포
d_d010207,POI01000000ALB406,호텔더본
d_d011350,POI0100000078KDIQ,가온제주
a_a003264,POI01000000B13BK6,동막해수욕장자율방범대
d_d003054,POI0100000078LTJ8,제주평화렌트카
d_d000364,POI010000006W0H2H,에코랜드테마파크
d_d001805,POI010000006VSVBV,협재회관
d_d004461,POI01000000C9LW1Z,메종프라임
d_d012256,POI010000006VUD6A,그랑부르펜션
d_d004297,POI01000000B2TJL6,경기전사적지339호
d_d007870,POI01000000BZ1Z39,천지연폭포
d_d005903,POI01000000ALBVGD,제주신화월드테마파크
a_a000490,POI01000000CR7OPJ,도서출판이자리
b_b003076,POI010000006VPCMK,삼덕수족관
d_d006312,POI0100000078LCNV,casa블루
d_d002852,POI01000000B31VDJ,마마뜰노블레스아파트
d_d001332,POI01000000EG6Q6S,제주다온하우스
a_a002374,POI01000000BG30VL,남원역
c_c000751,POI01000000B391AU,진도개테마파크
d_d001226,POI01000000C2E4YQ,성서동서화성타운/203동
d_d010383,POI01000000EG96CH,진모텔
d_d000276,POI01000000EG7PF1,그랜드조선제주호텔
d_d007722,POI010000006W12Z0,그린마트
d_d000241,POI0100000078IQ8R,BRICKSHOTEL
d_d010533,POI010000006HL509,이스타빌오피스텔
d_d003736,POI0100000078KLO4,샤워실
d_d003564,POI01000000ALAFS8,코업시티호텔하버뷰
d_d010305,POI01000000EBRPYZ,곽지해변
b_b010136,POI01000000EHGRHF,지심도여행민박
d_d000263,POI01000000BSD2Q4,신세계백화점
d_d001574,POI010000006VS9NL,더포그레이리조트
d_d008030,POI01000000EG54FE,D&DEPARTMENTJEJUBYARARIO
d_d000341,POI01000000DIPZ6L,97클로젯
d_d010183,POI01000000EG6N1K,예벤에셀함덕호텔
d_d008036,POI0100000078KJIW,성산유치원
d_d001748,POI01000000EG4M9P,카리스빌
d_d005235,POI01000000ANV6B5,안동고속터미널화장실
d_d009208,POI010000006W7HYK,오션팰리스호텔제주
d_d000330,POI01000000DM3W3X,"율하자이힐스테이트아파트,경비실"
a_a000317,POI01000000B34XFQ,푸조렌트카
d_d005165,POI0100000078R4V1,마트로
d_d002134,POI01000000ALC6KT,한림공원
c_c003767,POI01000000C13JPK,작전2차동보프라임힐아파트/104동
d_d006783,POI01000000EBRYW6,중문색달해수욕장
c_c002788,POI01000000BXC94T,홍성휴게소
d_d006357,POI01000000B30TDG,케니스토리호텔
d_d001389,POI010000006W0Z1Y,신의한모
d_d007782,POI0100000078QHZH,제주비치호텔함덕
d_d003543,POI01000000B314AP,우림랜드
d_d002237,POI01000000B301HS,금호리조트
d_d003050,POI01000000E86UUC,1100고지버스정류장
